year_month,SPI,model
2039-12,-0.7900695024470359,CMCC_CM2_VHR4
2040-01,-0.7900695024470359,CMCC_CM2_VHR4
2040-02,-0.4198597649439556,CMCC_CM2_VHR4
2040-03,-0.49099142071199076,CMCC_CM2_VHR4
2040-04,-0.7900695024470359,CMCC_CM2_VHR4
2040-05,-0.369699372648166,CMCC_CM2_VHR4
2040-06,0.4167042400408877,CMCC_CM2_VHR4
2040-07,0.7051902827012151,CMCC_CM2_VHR4
2040-08,1.030391111656977,CMCC_CM2_VHR4
2040-09,1.5136641298720708,CMCC_CM2_VHR4
2040-10,2.4753020268244317,CMCC_CM2_VHR4
2040-11,-0.7900695024470359,CMCC_CM2_VHR4
2040-12,-0.7900695024470359,CMCC_CM2_VHR4
2041-01,-0.7900695024470359,CMCC_CM2_VHR4
2041-02,-0.6112419201578284,CMCC_CM2_VHR4
2041-03,-0.5932895706954826,CMCC_CM2_VHR4
2041-04,-0.5079495363332233,CMCC_CM2_VHR4
2041-05,-0.174555960459782,CMCC_CM2_VHR4
2041-06,0.5024738043298542,CMCC_CM2_VHR4
2041-07,1.1899413628714148,CMCC_CM2_VHR4
2041-08,1.279559011159463,CMCC_CM2_VHR4
2041-09,1.9238849347726341,CMCC_CM2_VHR4
2041-10,1.3267408969795098,CMCC_CM2_VHR4
2041-11,-0.22640274868641352,CMCC_CM2_VHR4
2041-12,-0.7900695024470359,CMCC_CM2_VHR4
2042-01,-0.3237063470872319,CMCC_CM2_VHR4
2042-02,-0.7900695024470359,CMCC_CM2_VHR4
2042-03,-0.10315730730976827,CMCC_CM2_VHR4
2042-04,-0.3526430055690325,CMCC_CM2_VHR4
2042-05,-0.27232109975866453,CMCC_CM2_VHR4
2042-06,0.49552622801968194,CMCC_CM2_VHR4
2042-07,0.7654552515130173,CMCC_CM2_VHR4
2042-08,1.287634264186592,CMCC_CM2_VHR4
2042-09,1.5332958507866472,CMCC_CM2_VHR4
2042-10,0.5530210955334958,CMCC_CM2_VHR4
2042-11,-0.7900695024470359,CMCC_CM2_VHR4
2042-12,-0.34335264097478657,CMCC_CM2_VHR4
2043-01,-0.6152020669021933,CMCC_CM2_VHR4
2043-02,-0.4967149773172426,CMCC_CM2_VHR4
2043-03,-0.7900695024470359,CMCC_CM2_VHR4
2043-04,-0.5098132104583976,CMCC_CM2_VHR4
2043-05,0.009388683689038318,CMCC_CM2_VHR4
2043-06,-0.0882051504100596,CMCC_CM2_VHR4
2043-07,0.6881078358429132,CMCC_CM2_VHR4
2043-08,1.4872571213203274,CMCC_CM2_VHR4
2043-09,2.376726037042939,CMCC_CM2_VHR4
2043-10,0.7692044565075064,CMCC_CM2_VHR4
2043-11,-0.39524958378706787,CMCC_CM2_VHR4
2043-12,-0.7900695024470359,CMCC_CM2_VHR4
2044-01,-0.7900695024470359,CMCC_CM2_VHR4
2044-02,-0.7900695024470359,CMCC_CM2_VHR4
2044-03,-0.7900695024470359,CMCC_CM2_VHR4
2044-04,-0.47205811920299784,CMCC_CM2_VHR4
2044-05,0.1862229097275194,CMCC_CM2_VHR4
2044-06,0.5231709692378057,CMCC_CM2_VHR4
2044-07,1.1552329022972425,CMCC_CM2_VHR4
2044-08,1.039091875391441,CMCC_CM2_VHR4
2044-09,2.0583572940647703,CMCC_CM2_VHR4
2044-10,0.5902145941906304,CMCC_CM2_VHR4
2044-11,-0.5365057919063875,CMCC_CM2_VHR4
2044-12,-0.6102559318680627,CMCC_CM2_VHR4
2045-01,0.02466776399095684,CMCC_CM2_VHR4
2045-02,-0.7900695024470359,CMCC_CM2_VHR4
2045-03,-0.7900695024470359,CMCC_CM2_VHR4
2045-04,-0.7900695024470359,CMCC_CM2_VHR4
2045-05,-0.18791243810605826,CMCC_CM2_VHR4
2045-06,0.3630679366739899,CMCC_CM2_VHR4
2045-07,0.7452797811405395,CMCC_CM2_VHR4
2045-08,1.4469699028159186,CMCC_CM2_VHR4
2045-09,1.1782134006155933,CMCC_CM2_VHR4
2045-10,0.5253388483025779,CMCC_CM2_VHR4
2045-11,-0.2961496081991189,CMCC_CM2_VHR4
2045-12,-0.7900695024470359,CMCC_CM2_VHR4
2046-01,-0.47294881243168807,CMCC_CM2_VHR4
2046-02,-0.34414442916760024,CMCC_CM2_VHR4
2046-03,-0.7900695024470359,CMCC_CM2_VHR4
2046-04,-0.627027027747047,CMCC_CM2_VHR4
2046-05,-0.2703240540176946,CMCC_CM2_VHR4
2046-06,0.3854358631585095,CMCC_CM2_VHR4
2046-07,1.1797101687991969,CMCC_CM2_VHR4
2046-08,1.359262843540272,CMCC_CM2_VHR4
2046-09,1.0399073219912822,CMCC_CM2_VHR4
2046-10,1.011662173222422,CMCC_CM2_VHR4
2046-11,-0.051597289326711926,CMCC_CM2_VHR4
2046-12,-0.43595634198002786,CMCC_CM2_VHR4
2047-01,-0.7900695024470359,CMCC_CM2_VHR4
2047-02,-0.7900695024470359,CMCC_CM2_VHR4
2047-03,-0.6403367907230283,CMCC_CM2_VHR4
2047-04,-0.5264544295503608,CMCC_CM2_VHR4
2047-05,-0.08674166669121074,CMCC_CM2_VHR4
2047-06,0.6389450481592003,CMCC_CM2_VHR4
2047-07,1.2175431120722584,CMCC_CM2_VHR4
2047-08,1.415069610024411,CMCC_CM2_VHR4
2047-09,1.7431621589893644,CMCC_CM2_VHR4
2047-10,0.8321512872157407,CMCC_CM2_VHR4
2047-11,-0.06076439005031176,CMCC_CM2_VHR4
2047-12,-0.7900695024470359,CMCC_CM2_VHR4
2048-01,-0.7900695024470359,CMCC_CM2_VHR4
2048-02,-0.7900695024470359,CMCC_CM2_VHR4
2048-03,0.005344253622945264,CMCC_CM2_VHR4
2048-04,-0.7900695024470359,CMCC_CM2_VHR4
2048-05,-0.10660567376864916,CMCC_CM2_VHR4
2048-06,0.5048464022901876,CMCC_CM2_VHR4
2048-07,0.9839319845511586,CMCC_CM2_VHR4
2048-08,1.315542281064777,CMCC_CM2_VHR4
2048-09,1.302013818433533,CMCC_CM2_VHR4
2048-10,0.3954100297184597,CMCC_CM2_VHR4
2048-11,0.03206714808036887,CMCC_CM2_VHR4
2048-12,-0.7900695024470359,CMCC_CM2_VHR4
2049-01,-0.7900695024470359,CMCC_CM2_VHR4
2049-02,-0.7900695024470359,CMCC_CM2_VHR4
2049-03,-0.6357409262431821,CMCC_CM2_VHR4
2049-04,-0.7900695024470359,CMCC_CM2_VHR4
2049-05,-0.3836718415820827,CMCC_CM2_VHR4
2049-06,0.23880030499749993,CMCC_CM2_VHR4
2049-07,1.0391255137476145,CMCC_CM2_VHR4
2049-08,1.4695959657556237,CMCC_CM2_VHR4
2049-09,1.1476118328494849,CMCC_CM2_VHR4
2049-10,0.9006699343798208,CMCC_CM2_VHR4
2049-11,-0.1057853065831565,CMCC_CM2_VHR4
2049-12,-0.3635366064368519,CMCC_CM2_VHR4
2050-01,-0.4399052406318985,CMCC_CM2_VHR4
2050-02,-0.6301592864483646,CMCC_CM2_VHR4
2050-03,-0.6036321553450829,CMCC_CM2_VHR4
2050-04,-0.4633120328041428,CMCC_CM2_VHR4
2050-05,-0.21465650597731625,CMCC_CM2_VHR4
2050-06,0.13344393053371176,CMCC_CM2_VHR4
2050-07,0.5850144152500723,CMCC_CM2_VHR4
2050-08,1.0503740801367323,CMCC_CM2_VHR4
2050-09,1.0302193222161278,CMCC_CM2_VHR4
2050-10,0.46093401392994393,CMCC_CM2_VHR4
2050-11,-0.024277323853862193,CMCC_CM2_VHR4
2050-12,-0.7900695024470359,CMCC_CM2_VHR4
2025-01,0.2022214693301578,FGOALS_f3_H
2025-02,0.2022214693301578,FGOALS_f3_H
2025-03,0.2022214693301578,FGOALS_f3_H
2025-04,0.2022214693301578,FGOALS_f3_H
2025-05,0.44668585937274813,FGOALS_f3_H
2025-06,0.673324456908704,FGOALS_f3_H
2025-07,0.6359578737362025,FGOALS_f3_H
2025-08,1.1279547530615552,FGOALS_f3_H
2025-09,1.5617011730904105,FGOALS_f3_H
2025-10,0.3927030962939913,FGOALS_f3_H
2025-11,0.2022214693301578,FGOALS_f3_H
2025-12,0.2022214693301578,FGOALS_f3_H
2026-01,0.2022214693301578,FGOALS_f3_H
2026-02,0.28325405794476655,FGOALS_f3_H
2026-03,0.4736686383376766,FGOALS_f3_H
2026-04,0.2022214693301578,FGOALS_f3_H
2026-05,0.2022214693301578,FGOALS_f3_H
2026-06,0.2022214693301578,FGOALS_f3_H
2026-07,0.34017049210678424,FGOALS_f3_H
2026-08,1.8525801721072148,FGOALS_f3_H
2026-09,1.007324016442746,FGOALS_f3_H
2026-10,0.7137242332007192,FGOALS_f3_H
2026-11,0.2022214693301578,FGOALS_f3_H
2026-12,0.2022214693301578,FGOALS_f3_H
2027-01,0.2022214693301578,FGOALS_f3_H
2027-02,0.31025614444846134,FGOALS_f3_H
2027-03,0.2022214693301578,FGOALS_f3_H
2027-04,0.2022214693301578,FGOALS_f3_H
2027-05,0.24768746745796086,FGOALS_f3_H
2027-06,0.2022214693301578,FGOALS_f3_H
2027-07,0.47655736921918773,FGOALS_f3_H
2027-08,1.2626903171795658,FGOALS_f3_H
2027-09,1.5001554056302662,FGOALS_f3_H
2027-10,0.7536116729373297,FGOALS_f3_H
2027-11,0.2022214693301578,FGOALS_f3_H
2027-12,0.2022214693301578,FGOALS_f3_H
2028-01,0.2022214693301578,FGOALS_f3_H
2028-02,0.2022214693301578,FGOALS_f3_H
2028-03,0.2022214693301578,FGOALS_f3_H
2028-04,0.2022214693301578,FGOALS_f3_H
2028-05,0.2022214693301578,FGOALS_f3_H
2028-06,0.2022214693301578,FGOALS_f3_H
2028-07,0.6771155103321748,FGOALS_f3_H
2028-08,1.7120123637345241,FGOALS_f3_H
2028-09,1.066055445334399,FGOALS_f3_H
